Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,CB-C01,26.965000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,10.00,,4.0W,,,,,
2,CB-C02,26.975000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,10.00,,4.0W,,,,,
3,CB-C03,26.985000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,10.00,,4.0W,,,,,
4,CB-C04,27.005000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,10.00,,4.0W,,,,,
5,CB-C05,27.015000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,10.00,,4.0W,,,,,
6,CB-C06,27.025000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,10.00,,4.0W,,,,,
7,CB-C07,27.035000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,10.00,,4.0W,,,,,
8,CB-C08,27.055000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,10.00,,4.0W,,,,,
9,CB-C09,27.065000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,10.00,,4.0W,,,,,
10,CB-C10,27.075000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,10.00,,4.0W,,,,,
11,CB-C11,27.085000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,10.00,,4.0W,,,,,
12,CB-C12,27.105000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,10.00,,4.0W,,,,,
13,CB-C13,27.115000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,10.00,,4.0W,,,,,
14,CB-C14,27.125000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,10.00,,4.0W,,,,,
15,CB-C15,27.135000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,10.00,,4.0W,,,,,
16,CB-C16,27.155000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,10.00,,4.0W,,,,,
17,CB-C17,27.165000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,10.00,,4.0W,,,,,
18,CB-C18,27.175000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,10.00,,4.0W,,,,,
19,CB-C19,27.185000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,10.00,,4.0W,,,,,
20,CB-C20,27.205000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,10.00,,4.0W,,,,,
21,CB-C21,27.215000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,10.00,,4.0W,,,,,
22,CB-C22,27.225000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,10.00,,4.0W,,,,,
23,CB-C23,27.255000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,10.00,,4.0W,,,,,
24,CB-C24,27.235000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,10.00,,4.0W,,,,,
25,CB-C25,27.245000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,10.00,,4.0W,,,,,
26,CB-C26,27.265000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,10.00,,4.0W,,,,,
27,CB-C27,27.275000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,10.00,,4.0W,,,,,
28,CB-C28,27.285000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,10.00,,4.0W,,,,,
29,CB-C29,27.295000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,10.00,,4.0W,,,,,
30,CB-C30,27.305000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,10.00,,4.0W,,,,,
31,CB-C31,27.315000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,10.00,,4.0W,,,,,
32,CB-C32,27.325000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,10.00,,4.0W,,,,,
33,CB-C33,27.335000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,10.00,,4.0W,,,,,
34,CB-C34,27.345000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,10.00,,4.0W,,,,,
35,CB-C35,27.355000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,10.00,,4.0W,,,,,
36,CB-C36,27.365000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,10.00,,4.0W,,,,,
37,CB-C37,27.375000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,10.00,,4.0W,,,,,
38,CB-C38,27.385000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,10.00,,4.0W,,,,,
39,CB-C39,27.395000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,10.00,,4.0W,,,,,
40,CB-C40,27.405000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,NFM,10.00,,4.0W,,,,,
