Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,EDI-MRK,145.775000,-,0.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
2,KIR-MRK,439.375000,-,7.600000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
3,KIR-MAH,439.275000,-,7.600000,Tone,77.0,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
4,TEK-VHF,145.600000,-,0.600000,Tone,77.0,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
5,TEK-UHF,439.425000,-,7.600000,TSQL,77.0,77.0,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
6,TEK-LLB,439.275000,-,7.600000,TSQL,77.0,77.0,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
7,TEK-COR,439.375000,-,7.600000,TSQL,74.4,74.4,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
8,IST-ESN,439.250000,-,7.600000,Tone,94.8,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
9,IST-TKS,439.200000,-,7.600000,Tone,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
10,IST-AVC,145.737500,-,0.600000,TSQL,110.9,110.9,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
11,IST-BEY,439.375000,-,7.600000,Cross,100.0,67.0,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
12,IST-ES2,439.375000,-,7.600000,Cross,67.0,71.9,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
13,IST-ZYT,439.400000,-,7.600000,Tone,123.0,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
14,IST-ES3,145.712500,,0.000000,TSQL,100.0,100.0,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
15,IST-KD3,145.775000,-,0.600000,TSQL,67.0,67.0,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
16,IST--E1,144.950000,,0.000000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
17,IST--E2,144.975000,,0.000000,Tone,67.0,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
18,IST--E3,433.400000,,0.000000,TSQL,88.5,88.5,023,NN,023,Tone->Tone,NFM,12.50,,5.0W,,,,,
