Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
1,INSPIRE,435.200000,-,289.370000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
2,IO-86,435.880000,-,290.000000,Tone,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
3,BY70-8,145.950000,+,290.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
4,CRAC-01,145.980000,+,289.920000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
5,UVSQSAT,437.020000,-,291.115000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
6,VCSSARC,145.985000,+,289.090000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
7,UCSSARC,436.510000,-,290.635000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
8,1TEVEL8,436.400000,-,290.430000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
9,CAS-7C,435.690000,-,289.790000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
10,CAS-7A,435.455000,-,289.505000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
11,CAS-5A,435.600000,-,289.675000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
12,CAS-3H,437.200000,-,292.850000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
13,PO-101,145.900000,+,291.600000,Tone,141.3,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
14,SO-50,436.795000,-,290.945000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
15,SO-125,436.666000,-,290.791000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
16,AO-123,435.400000,-,289.550000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,50W,,,,,
17,AO-95,435.300000,-,289.380000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
18,AO-92,145.880000,+,289.470000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
19,AO-91,145.960000,+,289.290000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
20,AO-85,145.980000,+,289.190000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
21,AO-27,436.795000,-,290.945000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
22,ISS-RPT,437.800000,-,291.810000,Tone,67.0,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
23,ISS--RX,145.800000,off,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
24,APRSISS,145.825000,,0.000000,,88.5,88.5,023,NN,023,Tone->Tone,FM,5.00,,5.0W,,,,,
